MAS: Financial Database - Domestic Interest Rates

Domestic Interest Rates (Daily)
Jan 2013 to Apr 2026


SORA Value Date,,,SORA Publication Date,SORA,SORA Index,Compound SORA - 1 month,Compound SORA - 3 month,Compound SORA - 6 month,Aggregate Volume of SORA Transactions (S$ MILLIONS),Highest Transacted Rate,Lowest Transacted Rate,SORA Calculation Method
2013,Jan,02,03 Jan 2013,0.0189,0.9632609297,0.0510,0.0576,0.0685,-,-,-,-
,,03,04 Jan 2013,0.0194,0.9632614416,0.0485,0.0576,0.0685,-,-,-,-
,,04,07 Jan 2013,0.0228,0.9632632468,0.0442,0.0577,0.0683,-,-,-,-
,,07,08 Jan 2013,0.0285,0.9632639989,0.0444,0.0579,0.0682,-,-,-,-
,,08,09 Jan 2013,0.0327,0.9632648619,0.0446,0.0579,0.0681,-,-,-,-
,,09,10 Jan 2013,0.0202,0.9632653950,0.0445,0.0578,0.0681,-,-,-,-
,,10,11 Jan 2013,0.0247,0.9632660468,0.0444,0.0577,0.0681,-,-,-,-
,,11,14 Jan 2013,0.0224,0.9632678203,0.0441,0.0575,0.0679,-,-,-,-
,,14,15 Jan 2013,0.0235,0.9632684405,0.0434,0.0575,0.0678,-,-,-,-
,,15,16 Jan 2013,0.0274,0.9632691636,0.0429,0.0575,0.0678,-,-,-,-
,,16,17 Jan 2013,0.0266,0.9632698656,0.0423,0.0572,0.0678,-,-,-,-
,,17,18 Jan 2013,0.0255,0.9632705386,0.0396,0.0568,0.0677,-,-,-,-
,,18,21 Jan 2013,0.0517,0.9632746318,0.0397,0.0572,0.0677,-,-,-,-
,,21,22 Jan 2013,0.0567,0.9632761282,0.0404,0.0575,0.0677,-,-,-,-
,,22,23 Jan 2013,0.0605,0.9632777248,0.0412,0.0574,0.0677,-,-,-,-
,,23,24 Jan 2013,0.1034,0.9632804537,0.0434,0.0576,0.0680,-,-,-,-
,,24,25 Jan 2013,0.0629,0.9632821137,0.0436,0.0568,0.0678,-,-,-,-
,,25,28 Jan 2013,0.0365,0.9632850035,0.0387,0.0523,0.0667,-,-,-,-
,,28,29 Jan 2013,0.0442,0.9632861700,0.0380,0.0509,0.0663,-,-,-,-
,,29,30 Jan 2013,0.0511,0.9632875186,0.0376,0.0505,0.0659,-,-,-,-
,,30,31 Jan 2013,0.0503,0.9632888461,0.0372,0.0505,0.0654,-,-,-,-
,,31,01 Feb 2013,0.0715,0.9632907331,0.0383,0.0505,0.0650,-,-,-,-
,Feb,01,04 Feb 2013,0.0589,0.9632953965,0.0415,0.0508,0.0650,-,-,-,-
,,04,05 Feb 2013,0.0712,0.9632972756,0.0431,0.0509,0.0652,-,-,-,-
,,05,06 Feb 2013,0.0266,0.9632979776,0.0432,0.0507,0.0651,-,-,-,-
,,06,07 Feb 2013,0.0226,0.9632985741,0.0432,0.0507,0.0649,-,-,-,-
,,07,08 Feb 2013,0.0317,0.9632994107,0.0433,0.0507,0.0648,-,-,-,-
,,08,13 Feb 2013,0.0767,0.9633095319,0.0517,0.0529,0.0648,-,-,-,-
,,13,14 Feb 2013,0.0793,0.9633116248,0.0535,0.0534,0.0648,-,-,-,-
,,14,15 Feb 2013,0.0921,0.9633140555,0.0558,0.0534,0.0648,-,-,-,-
,,15,18 Feb 2013,0.0991,0.9633219019,0.0628,0.0518,0.0647,-,-,-,-
,,18,19 Feb 2013,0.0423,0.9633230183,0.0625,0.0509,0.0646,-,-,-,-
,,19,20 Feb 2013,0.0396,0.9633240634,0.0621,0.0508,0.0645,-,-,-,-
,,20,21 Feb 2013,0.0197,0.9633245834,0.0611,0.0506,0.0643,-,-,-,-
,,21,22 Feb 2013,0.0406,0.9633256549,0.0605,0.0507,0.0640,-,-,-,-
