MAS: Financial Database - Exchange Rates

Exchange Rates (Daily)
Jan 2013 to Apr 2026


End of Period,,,S$ Per Unit of Euro,S$ Per Unit of Pound Sterling,S$ Per Unit of US Dollar,S$ Per 100 Units of Australian Dollar,S$ Per 100 Units of Canadian Dollar,S$ Per 100 Units of Chinese Renminbi,S$ Per 100 Units of Hong Kong Dollar,S$ Per 100 Units of Indian Rupee,S$ Per 100 Units of Indonesian Rupiah,S$ Per 100 Units of Japanese Yen,S$ Per 100 Units of Korean Won,S$ Per 100 Units of Malaysian Ringgit,S$ Per 100 Units of New Taiwan Dollar,S$ Per 100 Units of New Zealand Dollar,S$ Per 100 Units of Philippine Peso,S$ Per 100 Units of Qatar Riyal,S$ Per 100 Units of Saudi Arabia Riyal,S$ Per 100 Units of Swiss Franc,S$ Per 100 Units of Thai Baht,S$ Per 100 Units of UAE Dirham,S$ Per 100 Units of Vietnamese Dong
2013,Jan,02,1.6221,1.9960,1.2208,127.92,123.74,19.59,15.75,2.2458,0.012605,1.3992,0.1147,40.19,4.2091,102.23,2.9863,33.53,32.55,134.30,4.0072,33.24,0.005858
,,03,1.6060,1.9825,1.2227,128.09,123.93,19.63,15.77,2.2453,0.012644,1.4010,0.1149,40.27,4.2161,101.72,2.9964,33.58,32.60,132.82,4.0247,33.29,0.005866
,,04,1.6020,1.9757,1.2296,128.30,124.32,19.73,15.86,2.2432,0.012709,1.4010,0.1155,40.38,4.2400,101.27,3.0082,33.77,32.79,132.51,4.0381,33.48,0.005897
,,07,1.6063,1.9752,1.2307,128.90,124.65,19.76,15.88,2.2397,0.012655,1.3969,0.1157,40.45,4.2436,102.14,3.0102,33.80,32.82,132.90,4.0417,33.51,0.005903
,,08,1.6126,1.9795,1.2289,128.78,124.52,19.74,15.85,2.2271,0.012617,1.4033,0.1156,40.42,4.2360,102.69,3.0072,33.76,32.77,133.37,4.0384,33.46,0.005894
,,09,1.6056,1.9702,1.2281,128.90,124.38,19.73,15.84,2.2347,0.012609,1.4043,0.1156,40.38,4.2310,102.94,3.0067,33.74,32.75,132.83,4.0371,33.43,0.005890
,,10,1.6010,1.9648,1.2268,129.39,124.30,19.71,15.83,2.2454,0.012615,1.3926,0.1156,40.40,4.2320,103.05,3.0098,33.70,32.71,132.44,4.0369,33.40,0.005885
,,11,1.6230,1.9771,1.2242,129.52,124.46,19.70,15.79,2.2473,0.012673,1.3749,0.1159,40.54,4.2294,103.18,3.0175,33.63,32.64,133.69,4.0443,33.33,0.005871
,,14,1.6430,1.9806,1.2261,129.45,124.64,19.73,15.82,2.2384,0.012679,1.3682,0.1161,40.65,4.2367,103.00,3.0166,33.68,32.69,134.34,4.0492,33.38,0.005881
,,15,1.6361,1.9695,1.2245,129.09,124.40,19.70,15.79,2.2501,0.012572,1.3755,0.1160,40.74,4.2290,102.82,3.0179,33.63,32.65,132.41,4.0695,33.34,0.005877
,,16,1.6279,1.9684,1.2248,129.41,124.40,19.71,15.80,2.2369,0.012607,1.3893,0.1156,40.62,4.2277,102.96,3.0149,33.64,32.66,131.54,4.0936,33.35,0.005876
,,17,1.6269,1.9583,1.2248,128.68,124.07,19.70,15.80,2.2373,0.012614,1.3876,0.1156,40.55,4.2262,102.71,3.0153,33.64,32.66,131.44,4.1004,33.35,0.005876
,,18,1.6392,1.9576,1.2251,128.84,124.14,19.71,15.80,2.2664,0.012610,1.3620,0.1160,40.66,4.2318,102.28,3.0190,33.65,32.67,130.57,4.1118,33.35,0.005877
,,21,1.6365,1.9494,1.2288,129.25,123.97,19.76,15.85,2.2887,0.012635,1.3710,0.1160,40.68,4.2443,102.69,3.0225,33.75,32.77,131.49,4.1409,33.45,0.005896
,,22,1.6362,1.9460,1.2281,129.32,123.78,19.74,15.84,2.2979,0.012733,1.3659,0.1155,40.44,4.2362,103.11,3.0238,33.74,32.75,131.49,4.1281,33.43,0.005892
,,23,1.6347,1.9434,1.2277,129.33,123.72,19.74,15.83,2.2866,0.012735,1.3850,0.1153,40.42,4.2338,103.16,3.0218,33.73,32.74,132.02,4.1253,33.42,0.005890
,,24,1.6339,1.9430,1.2269,129.16,122.69,19.73,15.82,2.2822,0.012747,1.3748,0.1150,40.34,4.2273,103.49,3.0204,33.70,32.72,131.90,4.1137,33.40,0.005886
,,25,1.6444,1.9419,1.2311,128.56,122.75,19.79,15.88,2.2881,0.012715,1.3603,0.1148,40.31,4.2209,102.92,3.0244,33.82,32.83,132.29,4.1195,33.52,0.005905
,,28,1.6620,1.9463,1.2353,128.78,122.54,19.85,15.93,2.2917,0.012683,1.3560,0.1142,40.57,4.1988,103.30,3.0363,33.93,32.94,133.07,4.1252,33.63,0.005926
