,,,,,,,,,,,,,,,,,,,,,,,,,,
Theme: Trade & Investment,,,,,,,,,,,,,,,,,,,,,,,,,,
Subject: Trade in Services (TIS),,,,,,,,,,,,,,,,,,,,,,,,,,
Topic: International Trade in Services (TIS),,,,,,,,,,,,,,,,,,,,,,,,,,
"Table Title: Trade In Services By Services Category, Annual",,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
Data last updated: 26/02/2026,,,,,,,,,,,,,,,,,,,,,,,,,,
Source: SINGAPORE DEPARTMENT OF STATISTICS,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,Million Dollars
Data Series,2025 ,2024 ,2023 ,2022 ,2021 ,2020 ,2019 ,2018 ,2017 ,2016 ,2015 ,2014 ,2013 ,2012 ,2011 ,2010 ,2009 ,2008 ,2007 ,2006 ,2005 ,2004 ,2003 ,2002 ,2001 ,2000 
Total Trade In Services,1055293.2,1021372.7,903899.9,886402.7,721378.9,597064.4,597034.3,561035.2,492548.6,430652.9,432922.3,406020.8,365055,327866.3,298227.8,273929.7,238962.6,254282,223936.4,195966,167532.8,150911.1,122427.9,109710.5,102892.5,96452.4
  Exports Of Services,552198.1,533733.2,471309.3,472903.5,386200.9,303965.7,310489.3,286865.1,240772,211380.3,210622.7,194843.2,177719.3,161769.2,150013,136872.3,117832,126155,110796.6,92674.8,75904.8,66795.8,52966.2,49936.3,46286.1,44854.8
    Manufacturing Services On Physical Inputs Owned By Others,1182.6,1108.6,981.5,678.1,489.9,236.8,266.9,370.3,247.1,284.8,346.5,424.4,283.2,249.6,260.4,289.5,323.4,452.1,492.6,534.7,315,353.2,303.1,369.5,195,202.4
    Maintenance And Repair Services,14943.5,13434.4,12206.1,10117.9,8833.5,8172.9,9663.3,9410,7712,8418.5,9315.2,9853.1,10767.2,9053.1,9342.9,8648.4,9128.1,8354.6,6605.6,5701,4797.7,3450.5,2883.1,3071.8,2099.5,1755.3
    Transport,176613.8,184751.5,149980.9,192306.1,143608.3,94821.1,95210.8,88716,69375.2,58758,64097.1,63918.8,57830.9,55586.3,53523,52606.6,43365.7,51108.8,43642.8,35877.1,32435.1,28630.3,23343.2,21539.3,20497.9,20379.3
      Freight,139098.8,149608.4,126432.7,170069.7,129963.4,81164.7,77468.2,71573.6,53929.6,45417.6,50798.1,50917.2,45929.4,42864.3,41416.7,41214.6,33042.6,38561.9,31104.6,24748,21286.1,18702.3,15022.2,12656.8,12079.2,11595.5
      Others,37515,35143.1,23548.2,22236.4,13644.9,13656.4,17742.6,17142.4,15445.6,13340.4,13299,13001.6,11901.5,12722,12106.3,11392,10323.1,12546.9,12538.2,11129.1,11149,9928,8321,8882.5,8418.7,8783.8
    Travel,35905.1,32736.7,28951.5,15719.8,5399.1,7527.2,27754.7,27366.8,27477.5,26190,22845.5,24277.4,24063.3,23487.3,22551.2,19331.2,13417.7,15018.1,13663.5,11973.5,10334.5,8996.7,6706.4,7980.5,8312.4,8864.7
    Insurance,12466.3,12167,11752.5,11748.4,9100.6,8539.9,8841.4,9516.6,6715.7,6076.8,5312.7,4241.5,3634.5,3396.6,3035.4,3317.7,2210.2,1942,1570.1,1254.1,1138,967.5,856.5,1001.9,732.9,925.4
