date,day,holiday
2020-01-01,Wednesday,New Year's Day
2020-01-25,Saturday,Chinese New Year
2020-01-26,Sunday,Chinese New Year
2020-01-27,Monday,Chinese New Year (Observed)
2020-04-10,Friday,Good Friday
2020-05-01,Friday,Labour Day
2020-05-07,Thursday,Vesak Day
2020-05-24,Sunday,Hari Raya Puasa
2020-05-25,Monday,Hari Raya Puasa (Observed)
2020-07-10,Friday,Polling Day
2020-07-31,Friday,Hari Raya Haji
2020-08-09,Sunday,National Day
2020-08-10,Monday,National Day (Observed)
2020-11-14,Saturday,Deepavali
2020-12-25,Friday,Christmas Day
2021-01-01,Friday,New Year's Day
2021-02-12,Friday,Chinese New Year
2021-02-13,Saturday,Chinese New Year
2021-04-02,Friday,Good Friday
2021-05-01,Saturday,Labour Day
2021-05-13,Thursday,Hari Raya Puasa
2021-05-26,Wednesday,Vesak Day
2021-07-20,Tuesday,Hari Raya Haji
2021-08-09,Monday,National Day
2021-11-04,Thursday,Deepavali
2021-12-25,Saturday,Christmas Day
2022-01-01,Saturday,New Year's Day
2022-02-01,Tuesday,Chinese New Year
2022-02-02,Wednesday,Chinese New Year
2022-04-15,Friday,Good Friday
2022-05-01,Sunday,Labour Day
2022-05-02,Monday,Hari Raya Puasa
2022-05-03,Tuesday,Labour Day (Observed)
2022-05-15,Sunday,Vesak Day
2022-07-10,Sunday,Hari Raya Haji
2022-08-09,Tuesday,National Day
2022-10-24,Monday,Deepavali
2022-12-25,Sunday,Christmas Day
2022-12-26,Monday,Christmas Day (Observed)
2023-01-01,Sunday,New Year's Day
2023-01-02,Monday,New Year's Day (Observed)
2023-01-22,Sunday,Chinese New Year
2023-01-23,Monday,Chinese New Year
2023-01-24,Tuesday,Chinese New Year (Observed)
2023-04-07,Friday,Good Friday
2023-04-22,Saturday,Hari Raya Puasa
2023-05-01,Monday,Labour Day
2023-06-02,Friday,Vesak Day
2023-06-29,Thursday,Hari Raya Haji
2023-08-09,Wednesday,National Day
2023-09-01,Friday,Polling Day
2023-11-12,Sunday,Deepavali
2023-11-13,Monday,Deepavali (Observed)
2023-12-25,Monday,Christmas Day
2024-01-01,Monday,New Year's Day
2024-02-10,Saturday,Chinese New Year
2024-02-11,Sunday,Chinese New Year
2024-02-12,Monday,Chinese New Year (Observed)
2024-03-29,Friday,Good Friday
2024-04-10,Wednesday,Hari Raya Puasa
2024-05-01,Wednesday,Labour Day
2024-05-22,Wednesday,Vesak Day
2024-06-17,Monday,Hari Raya Haji
2024-08-09,Friday,National Day
2024-10-31,Thursday,Deepavali
2024-12-25,Wednesday,Christmas Day
2025-01-01,Wednesday,New Year's Day
2025-01-29,Wednesday,Chinese New Year
2025-01-30,Thursday,Chinese New Year
2025-03-31,Monday,Hari Raya Puasa
2025-04-18,Friday,Good Friday
2025-05-01,Thursday,Labour Day
2025-05-03,Saturday,Polling Day
2025-05-12,Monday,Vesak Day
2025-06-07,Saturday,Hari Raya Haji
2025-08-09,Saturday,National Day
2025-10-20,Monday,Deepavali
2025-12-25,Thursday,Christmas Day
2026-01-01,Thursday,New Year’s Day
2026-02-17,Tuesday,Chinese New Year
2026-02-18,Wednesday,Chinese New Year
2026-03-21,Saturday,Hari Raya Puasa
2026-04-03,Friday,Good Friday
2026-05-01,Friday,Labour Day
2026-05-27,Wednesday,Hari Raya Haji
2026-05-31,Sunday,Vesak Day
2026-06-01,Monday,Vesak Day (Observed)
2026-08-09,Sunday,National Day
2026-08-10,Monday,National Day (Observed)
2026-11-08,Sunday,Deepavali
2026-11-09,Monday,Deepavali (Observed)
2026-12-25,Friday,Christmas Day
2027-01-01,Friday,New Year’s Day
2027-02-06,Saturday,Chinese New Year
2027-02-07,Sunday,Chinese New Year
2027-02-08,Monday,Chinese New Year (Observed)
2027-03-10,Wednesday,Hari Raya Puasa
2027-03-26,Friday,Good Friday
2027-05-01,Saturday,Labour Day
2027-05-17,Monday,Hari Raya Haji
2027-05-20,Thursday,Vesak Day
2027-08-09,Monday,National Day
2027-10-28,Thursday,Deepavali
2027-12-25,Saturday,Christmas Day
