iter	Logloss
0	0.69179724
1	0.6906194408
2	0.6893135387
3	0.6879489099
4	0.6867360502
5	0.685361038
6	0.6840805466
7	0.6829800036
8	0.6818456013
9	0.6807322999
10	0.6796792438
11	0.6787099226
12	0.6774331403
13	0.6764165664
14	0.6754503669
15	0.6744546706
16	0.6733790267
17	0.6721093879
18	0.6710859996
19	0.6699380074
20	0.6690641695
21	0.6683695459
22	0.6673312391
23	0.666338197
24	0.6652964651
25	0.6642647636
26	0.6633020172
27	0.662470135
28	0.6616216686
29	0.6608496313
30	0.6600227544
31	0.6591466874
32	0.6584414923
33	0.6576131176
34	0.6569773836
35	0.6561578093
36	0.6553224951
37	0.6546027267
38	0.6536659379
39	0.6528328771
40	0.6522085111
41	0.6513722955
42	0.6507219667
43	0.6499327248
44	0.6491992631
45	0.648549321
46	0.6479214228
47	0.6475048343
48	0.6469259074
49	0.6461877685
