Date,hawkish_count,dovish_count,lexicon_score,n_words
2001-02-22,21,43,-13.496932515337424,1630
2001-07-12,8,31,-25.64102564102564,897
2001-10-10,3,14,-33.84615384615385,325
2002-01-02,4,34,-25.619128949615714,1171
2002-07-11,5,23,-18.12688821752266,993
2003-01-02,8,18,-13.812154696132596,724
2003-07-10,4,20,-19.41747572815534,824
2003-10-10,4,6,-2.962962962962963,675
2004-04-12,8,7,1.5220700152207,657
2004-10-11,10,17,-9.523809523809526,735
2005-04-12,13,15,-2.328288707799767,859
2005-10-11,10,10,0.0,671
2006-04-11,10,8,2.8089887640449436,712
2006-10-10,8,12,-5.242463958060289,763
2007-04-10,8,11,-4.437869822485207,676
2007-10-10,13,15,-2.2026431718061676,908
2008-04-10,10,18,-10.376134889753567,771
2008-10-10,11,24,-15.2046783625731,855
2009-04-14,10,23,-20.21772939346812,643
2009-10-12,2,12,-14.285714285714285,700
2010-04-14,6,6,0.0,684
2010-10-14,9,17,-9.803921568627452,816
2011-04-14,13,14,-1.5408320493066257,649
2011-10-14,11,27,-17.91713325867861,893
2012-04-13,9,15,-7.894736842105264,760
2012-10-12,6,16,-11.350737797956867,881
2013-04-12,9,18,-9.44386149003148,953
2013-10-14,11,16,-4.803073967339097,1041
2014-04-14,12,27,-13.979496738117428,1073
2014-10-14,12,17,-4.757373929590866,1051
2015-01-28,7,14,-7.1283095723014265,982
2015-04-14,7,16,-8.587786259541986,1048
2015-10-14,11,27,-15.252621544327932,1049
2016-04-14,11,35,-18.05869074492099,1329
2016-10-14,5,29,-21.524663677130047,1115
2017-04-13,8,14,-6.302521008403361,952
2017-10-13,8,15,-6.88298918387414,1017
2018-04-13,9,20,-10.338345864661653,1064
2018-10-12,13,16,-3.2858707557502735,913
2019-04-12,16,25,-9.100101112234581,989
2019-10-14,9,23,-13.916500994035786,1006
2020-03-30,10,35,-20.177562550443906,1239
2020-10-14,3,27,-22.058823529411764,1088
2021-04-14,12,12,0.0,993
2021-10-14,18,23,-4.504504504504505,1110
2022-01-25,14,12,2.2988505747126435,870
2022-07-14,26,28,-1.9193857965451055,1042
2022-10-14,21,39,-14.85148514851485,1212
2023-04-14,21,27,-5.089058524173028,1179
2023-10-13,8,27,-21.300448430493272,892
2024-01-29,14,25,-11.494252873563218,957
2024-04-12,13,28,-16.483516483516485,910
2024-07-26,7,16,-10.06711409395973,894
2024-10-14,7,20,-13.844515441959532,939
2025-01-24,10,15,-6.0606060606060606,825
2025-04-14,8,42,-37.199124726477024,914
2025-07-30,6,18,-16.574585635359114,724
2025-10-14,10,25,-14.272121788772598,1051
2026-01-29,11,22,-12.775842044134729,861
2026-04-14,12,14,-2.2172949002217295,902
2026-07-27,23,18,4.935834155972359,1013
