Date,slope,width,level,off_cycle
22/02/2001,-,-,-,False
12/07/2001,Set at 0%,-,-,False
10/10/2001,-,Widen,-,True
02/01/2002,-,Restore narrower band,"Re-centre downwards, at prevailing level of the S$NEER",False
11/07/2002,-,-,-,False
02/01/2003,-,-,-,False
10/07/2003,-,-,"Re-centre downwards, at prevailing level of the S$NEER",False
10/10/2003,-,-,-,False
12/04/2004,Increase,-,-,False
11/10/2004,-,-,-,False
12/04/2005,-,-,-,False
11/10/2005,-,-,-,False
11/04/2006,-,-,-,False
10/10/2006,-,-,-,False
10/04/2007,-,-,-,False
10/10/2007,Increase slightly,-,-,False
10/04/2008,-,-,"Re-centre upwards, at prevailing level of the S$NEER",False
10/10/2008,Set at 0%,-,-,False
14/04/2009,-,-,"Re-centre downwards, at prevailing level of the S$NEER",False
12/10/2009,-,-,-,False
14/04/2010,Increase,-,"Re-centre upwards, at prevailing level of the S$NEER",False
14/10/2010,Increase slightly,Widen slightly,-,False
14/04/2011,-,-,"Re-centre upwards, to below prevailing level of the S$NEER",False
14/10/2011,Reduce,-,-,False
13/04/2012,Increase slightly,Restore narrower band,-,False
12/10/2012,-,-,-,False
12/04/2013,-,-,-,False
14/10/2013,-,-,-,False
14/04/2014,-,-,-,False
14/10/2014,-,-,-,False
28/01/2015,Reduce,-,-,True
14/04/2015,-,-,-,False
14/10/2015,Reduce slightly,-,-,False
14/04/2016,Set at 0%,-,-,False
14/10/2016,-,-,-,False
13/04/2017,-,-,-,False
13/10/2017,-,-,-,False
13/04/2018,Increase slightly,-,-,False
12/10/2018,Increase slightly,-,-,False
12/04/2019,-,-,-,False
14/10/2019,Reduce slightly,-,-,False
30/03/2020,Set at 0%,-,"Re-centre downwards, at prevailing level of the S$NEER",False
14/10/2020,-,-,-,False
14/04/2021,-,-,-,False
14/10/2021,Increase slightly,-,-,False
25/01/2022,Increase slightly,-,-,True
14/07/2022,-,-,"Re-centre upwards, at prevailing level of the S$NEER",True
14/10/2022,-,-,"Re-centre upwards, at prevailing level of the S$NEER",False
14/04/2023,-,-,-,False
13/10/2023,-,-,-,False
29/01/2024,-,-,-,False
12/04/2024,-,-,-,False
26/07/2024,-,-,-,False
14/10/2024,-,-,-,False
24/01/2025,Reduce slightly,-,-,False
14/04/2025,Reduce slightly,-,-,False
30/07/2025,-,-,-,False
14/10/2025,-,-,-,False
29/01/2026,-,-,-,False
14/04/2026,Increase slightly,-,-,False
27/07/2026,Increase very slightly,-,-,False
